Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
WOPEF,WOODSIDE ENERGY GROUP LTD,Pink Limited,20.020000,-0.032850,1536,Foreign Ordinary Shares,Australia,Western Australia
WOLTF,WOLTERS KLUWER NV,Pink Limited,67.180000,0.008709,11,Foreign Ordinary Shares,The Netherlands,
WTKWY,WOLTERS KLUWER S/ADR,Pink Limited,68.390000,-0.015121,74770,ADRs,The Netherlands,
WELPM,WISC ELEC PWR 6 PR,OTCQB,108.000000,,0,Preferred Stock,USA,Wisconsin
WELPP,WISC ELEC PWR 3.60 PR,OTCQB,65.500000,,0,Preferred Stock,USA,Wisconsin
WELX,WINLAND HOLDINGS CORP,OTCID,2.400000,0.000000,2748,Common Stock,USA,Minnesota
WSRRF,HARRYS MFG INC ORD,Pink Limited,0.054600,0.060194,3853,Foreign Ordinary Shares,Canada,British Columbia
WBKCY,WESTPAC BKG CORP U/ADR,Pink Limited,51.540000,0.006641,1516,ADRs,Australia,New South Wales
WEBNF,WESTPAC BANKING CP ORD,Pink Limited,24.650000,-0.014000,382,Foreign Ordinary Shares,Australia,New South Wales
GFMH,GOLIATH FILM & MEDIA HLDG,Pink Limited,0.006000,,0,Common Stock,USA,Nevada
WFCNP,WELLS FARGO & CO D/E PFD,Pink Limited,2.750000,,0,Preferred Stock,,
WGNR,WEGENER CORP,Pink Limited,0.019000,0.032609,824574,Common Stock,USA,Georgia
WEBC,WEBCO INDUSTRIES INC,Pink Limited,315.000000,0.016129,20,Common Stock,USA,Oklahoma
WACLF,WACOAL HOLDINGS CORP NEW,Pink Limited,31.360000,,0,Foreign Ordinary Shares,Japan,
WACLY,WACOAL HLDGS SP/ADR,Pink Limited,137.330000,0.048961,1,ADRs,Japan,
WVFC,WVS FINCL CORP,OTCQX,14.360000,-0.002778,536,Common Stock,USA,Pennsylvania
WTBFA,W T B FINANCIAL CRP A,OTCID,700.000000,,0,Common Stock,USA,Washington
WTBFB,W T B FINANCIAL CRP B,OTCID,397.000000,0.007359,85,Common Stock,USA,Washington
VNORP,VORNADO RLTY TR 6.50 A PR,Pink Limited,51.750000,,0,Preferred Stock,USA,New York
VLVLY,VOLVO AB UNSP/ADR,Pink Limited,33.110000,-0.021861,501265,ADRs,Sweden,
VOLAF,VOLVO AB A,Pink Limited,34.720000,,0,Foreign Ordinary Shares,Sweden,
VOLVF,VOLVO AB B,Pink Limited,33.000000,-0.049471,195316,Foreign Ordinary Shares,Sweden,
VLKAF,VOLKSWAGEN AG ORD,Pink Limited,106.980000,-0.004374,10,Foreign Ordinary Shares,Germany,
VLKPF,VOLKSWAGEN AG PFD SHS,Pink Limited,94.600000,-0.055417,160,Preferred Stock,Germany,
VWAGY,VOLKSWAGEN AG UNSP/ADR,Pink Limited,10.000000,-0.031008,279324,ADRs,Germany,
VWAPY,VOLKSWAGEN AG PFD UNS/ADR,Pink Limited,9.740000,-0.041339,61097,ADRs,Germany,
DELX,DELEX HEALTHCARE GRP INC,OTCID,0.006500,,0,Common Stock,USA,Nevada
BSHI,BOSS HOLDINGS INC,Pink Limited,15.000000,,0,Common Stock,USA,Illinois
VINS,VINDICATOR SILVER LEAD,Pink Limited,0.035000,,0,Common Stock,USA,Idaho
DPLS,DARKPULSE INC,OTCQB,0.006500,-0.113233,2898898,Common Stock,USA,Arizona
FEOVF,OCEANIC IRON ORE CORP NEW,Pink Limited,0.560000,-0.075511,116380,Foreign Ordinary Shares,Canada,British Columbia
BLEGD,BRANDED LEGACY INC NEW,OTCID,0.020000,-0.500000,33617,Common Stock,USA,Florida
VLEEF,VALEO SA ORD NEW,Pink Limited,16.460000,,0,Foreign Ordinary Shares,France,
VLEEY,VALEO SE S/ADR,Pink Limited,8.060000,-0.028916,986,ADRs,France,
UTRX,UNITRONIX CORP,Pink Limited,0.017000,,0,Common Stock,USA,New Jersey
UTGN,UTG INC,Pink Limited,55.000000,,0,Common Stock,USA,Kentucky
UMCN,UMC INC,Pink Limited,0.049900,,0,Common Stock,USA,Ohio
UNRG,UNITED ENERGY CRP NEV,OTCID,0.063435,0.039918,269024,Common Stock,USA,Texas
UAHC,UNITED AMER HEALTHCARE CP,Pink Limited,0.016900,,0,Common Stock,USA,Illinois
KSEZ,KINETIC SEAS INC,OTCQB,0.039000,,0,Common Stock,USA,Illinois
UNTC,UNIT CORP,OTCQX,33.100000,-0.005707,9325,Common Stock,USA,Oklahoma
UNTCW,UNIT CORP WARRANT 9/27,OTCQX,2.900000,-0.063912,1052,Warrants,USA,Oklahoma
UELMO,UNION ELEC CO 3.70 PR,Pink Limited,60.000000,,0,Preferred Stock,USA,Missouri
UEPCN,UNION ELEC CO 4.75 PR,Pink Limited,77.500000,,0,Preferred Stock,USA,Missouri
UEPCO,UNION ELEC CO 5.50 PR A,Pink Limited,90.000000,,0,Preferred Stock,USA,Missouri
UEPCP,UNION ELEC CO 4.30 PR,Pink Limited,70.300000,,0,Preferred Stock,USA,Missouri
UEPEM,UNION ELEC CO 4 PR,Pink Limited,65.450000,,0,Preferred Stock,USA,Missouri
UEPEN,UNION ELEC CO 3.50 PR,Pink Limited,61.800000,,0,Preferred Stock,USA,Missouri
UEPEO,UNION ELEC CO 4.50 PR,Pink Limited,73.250000,,0,Preferred Stock,USA,Missouri
UEPEP,UNION ELEC CO 4.56 PR,Pink Limited,72.710000,,0,Preferred Stock,USA,Missouri
UNLYF,UNILEVER PLC GBP,Pink Limited,58.125000,-0.016497,1137,Foreign Ordinary Shares,United Kingdom,England
HSTC,HST GLOBAL INC,OTCID,0.700000,,0,Common Stock,USA,Virginia
KLNG,KOIL ENERGY SOLUTIONS INC,OTCQB,2.725000,-0.026786,9537,Common Stock,USA,Texas
TRCY,TRI CITY BANKSHARES CORP,OTCID,19.350000,0.000000,9430,Common Stock,USA,Wisconsin
SKAS,SAKER AVIATION SVCS,OTCID,6.500000,,0,Common Stock,USA,New York
TCANF,TC ENERGY CORP SER 5 PFD,Pink Limited,13.900000,,0,Preferred Stock,Canada,Alberta
TCENF,TC ENERGY 1ST PFD SER 4,Pink Limited,12.410000,,0,Preferred Stock,Canada,Alberta
TCEYF,TC ENERGY CORP PFD SER 1,Pink Limited,12.150000,,0,Preferred Stock,Canada,Alberta
TCNCF,TC ENERGY CORP PFD SER 11,Pink Limited,0.000000,,0,Preferred Stock,Canada,Alberta
TNCAF,TC ENERGY CORP SER 2 PFD,Pink Limited,14.500000,,0,Preferred Stock,Canada,Alberta
TRPEF,TC ENERGY 1ST PFD SER 3,Pink Limited,10.500000,,0,Preferred Stock,Canada,Alberta
TRPPF,TC ENERGY CP CUM PFD 7,Pink Limited,18.176600,,0,Preferred Stock,Canada,Alberta
TRPRF,TC ENERGY CORP PFD SER 9,Pink Limited,17.175200,,0,Preferred Stock,Canada,Alberta
FECOF,FEC RESOURCES INC ORD,Pink Limited,0.000900,,0,Foreign Ordinary Shares,Canada,British Columbia
TOYOF,TOYOTA MOTOR CORP ORD,Pink Limited,17.766500,0.002624,8885,Foreign Ordinary Shares,USA,New York
TPRP,TOWER PROPERTIES CO NEW,Pink Limited,25500.000000,,0,Common Stock,USA,Kansas
TOTDF,TOTO LTD ORD,Pink Limited,49.930000,-0.011679,451,Foreign Ordinary Shares,Japan,
TOTDY,TOTO LTD UNSP/ADR,Pink Limited,52.060000,0.029770,26799,ADRs,Japan,
TDBCP,TORONTO DOM NON CUM PFD 1,Pink Limited,17.500000,,0,Preferred Stock,Canada,Ontario
TROLB,TOOTSIE ROLL INDUS B COM,Pink Limited,39.000000,,0,Common Stock,USA,Illinois
SRCO,SPARTA COMML SVCS INC,OTCQB,0.065000,-0.044118,31944,Common Stock,USA,New York
TKOMF,TOKIO MARINE HLDGS ORD,Pink Limited,45.870000,,3845,Foreign Ordinary Shares,Japan,
TKOMY,TOKIO MARINE HLDGS S/ADR,Pink Limited,45.580000,-0.002626,140056,ADRs,Japan,
TOFB,TOFUTTI BRANDS INC,OTCQB,0.660000,0.031250,2010,Common Stock,USA,New Jersey
TBLMF,TIGER BRANDS LTD ORD,Pink Limited,16.680000,,0,Foreign Ordinary Shares,South Africa,
THMG,THUNDER MOUNTAIN GOLD INC,OTCQB,0.750000,0.000000,69705,Foreign Ordinary Shares,USA,Idaho
LSANF,LOS ANDES COPPER LTD,OTCQX,9.058000,-0.020757,2304,Foreign Ordinary Shares,Canada,British Columbia
THLEF,THALES SPONS ORD,Pink Limited,269.500000,0.024520,92,Foreign Ordinary Shares,France,
THLLY,THALES UNSP ADR,Pink Limited,53.110000,0.005681,65100,ADRs,France,
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX,2.310000,0.095268,2309,Common Stock,USA,Michigan
MHGUP,MERITAGE HOSPTLTY PFD B,OTCQX,3.990000,0.140000,951,Preferred Stock,USA,Michigan
GMNI,GEMINI GROUP GLOBAL CORP,OTCID,0.001200,,0,Common Stock,USA,Nevada
TEVJF,TEVA PHARM INDUS LTD ORD,Pink Limited,30.340000,,0,Foreign Ordinary Shares,USA,New Jersey
TSCDF,TESCO PLC NEW,OTCQX,5.920000,-0.079530,287,Foreign Ordinary Shares,United Kingdom,England
TSCDY,TESCO PLC S/ADR,OTCQX,18.150000,-0.027331,510455,ADRs,United Kingdom,England
WDRP,WANDERPORT CORP,OTCID,0.000630,0.050000,17006,Common Stock,USA,Texas
HLTEF,HILAN TECH LTD,Pink Limited,58.050000,,0,Foreign Ordinary Shares,Israel,
NWCYY,NORTH WEST CO INC U/ADR,Pink Limited,0.000000,,0,ADRs,Canada,Manitoba
TEFOF,TELEFONICA SA ORD,Pink Limited,4.512000,-0.050105,1000,Foreign Ordinary Shares,Spain,
TELFY,TELEFONICA SA ADR,Pink Limited,4.242500,0.001701,396000,ADRs,Spain,
NZTCF,SPARK NEW ZEALAND LTD ORD,Pink Limited,1.090000,,0,Foreign Ordinary Shares,New Zealand,
SPKKY,SPARK NZ LTD S/ADR,Pink Limited,5.410000,-0.021417,24752,ADRs,New Zealand,
TCMFF,TELECOM ARGENTINA SA,Pink Limited,1.750000,,0,Foreign Ordinary Shares,Argentina,
TINLF,TEIJIN LTD ORD,Pink Limited,9.510000,,0,Foreign Ordinary Shares,Japan,
TINLY,TEIJIN LTD ADR,Pink Limited,9.350000,,0,ADRs,Japan,
TCKRF,TECK RESOURCES LTD ORD,Pink Limited,52.690000,,6,Foreign Ordinary Shares,Canada,British Columbia
FUNN,AMFIL TECHNOLOGIES INC,OTCID,0.001959,0.152353,2816599,Common Stock,Canada,Ontario
AMFN,AMERICAN FUSION INC,OTCID,0.109600,-0.003636,5433428,Common Stock,USA,Texas
TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX,55.130000,,0,Common Stock,USA,Maryland
TISCF,TAISEI CORP ORD NEW,Pink Limited,121.600000,,0,Foreign Ordinary Shares,Japan,
TISCY,TAISEI CORP UNSP/ADR,Pink Limited,22.000000,-0.103870,842,ADRs,Japan,
TTDKF,TDK CORP JPY,Pink Limited,22.870000,,617,Foreign Ordinary Shares,Japan,
TTDKY,TDK CORP S/ADR,Pink Limited,23.800000,0.002527,198146,ADRs,Japan,
SWRAF,SWIRE PACIFIC LTD A,Pink Limited,11.100000,,0,Foreign Ordinary Shares,China,
SWRAY,SWIRE PAC LTD A S/ADR,Pink Limited,10.470000,-0.031811,81972,ADRs,China,
SWRBF,SWIRE PACIFIC LTD B ORD,Pink Limited,1.574000,,0,Foreign Ordinary Shares,China,
SWRBY,SWIRE PACIFIC LTD B S/ADR,Pink Limited,8.596500,,11,ADRs,China,
SPRS,SURGE COMPONENTS INC,Pink Limited,3.490000,,0,Common Stock,USA,New York
SCIA,SCI ENGINEERED MTRLS INC,OTCQB,8.500000,-0.017341,4118,Common Stock,USA,Ohio
SUHJF,SUN HUNG KAI PPTYS ORD,OTCID,14.700000,,11,Foreign Ordinary Shares,Hong Kong,
SUHJY,SUN HUNG KAI PY LTD S/ADR,OTCID,14.760000,-0.018617,166577,ADRs,Hong Kong,
STBI,STURGIS BANCORP INC,OTCQX,25.450000,-0.020400,676,Common Stock,USA,Michigan
STQN,STRATEGIC ACQUIS INC NEV,OTCID,0.250000,,0,Common Stock,USA,South Carolina
LODFF,LODE GOLD RES INC,OTCQB,0.202900,,0,Foreign Ordinary Shares,Canada,British Columbia
SOIEF,STOLT-NIELSEN LTD ORD,Pink Limited,32.400000,,0,Foreign Ordinary Shares,United Kingdom,
ACGYF,SUBSEA 7 SA ORD,Pink Limited,38.190000,,0,Foreign Ordinary Shares,United Kingdom,England
SUBCY,SUBSEA 7 S.A. S/ADR,Pink Limited,36.340000,0.007206,9203,ADRs,United Kingdom,England
SPCOQ,STEPHAN CO,OTCID,0.570000,,0,Common Stock,USA,Pennsylvania
STLY,HG HOLDINGS INC,OTCQB,3.500000,-0.016882,4208,Common Stock,USA,Florida
TMRC,TEXAS MINERAL RESOURCES,OTCQB,0.900000,0.022727,196615,Common Stock,USA,Texas
SPND,SPINDLETOP OIL&GAS CO,Pink Limited,3.100000,,4,Common Stock,USA,Texas
EDTXF,SPECTRAL MEDICAL INC ORD,Pink Limited,0.983665,-0.002368,30900,Foreign Ordinary Shares,Canada,Ontario
SRLY,STHN REALTY CO CAL,Pink Limited,17.000000,,0,Common Stock,USA,California
SOMC,STHN MICH BANCORP INC,OTCID,31.500000,0.016129,2000,Common Stock,USA,Michigan
SOCGM,STHN CAL GAS 6 PR,OTCQB,29.750000,,0,Preferred Stock,USA,California
SOCGP,STHN CAL GAS 6 A PR,OTCQB,29.700000,,0,Preferred Stock,USA,California
GRWWF,GREAT WALL PAN ASIA ORD,Pink Limited,0.020000,,0,Foreign Ordinary Shares,Hong Kong,
SNEJF,SONY GROUP CORP,Pink Limited,20.350000,-0.012615,29082,Foreign Ordinary Shares,USA,New York
